DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 y_recon.wav	 0.863	 0.000	 0	 8000	0.0120
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.905	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.841	 0.000	 0	 8000	0.0160
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.899	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.880	 0.000	 0	 8000	0.0120
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.932	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.890	 0.000	 0	 8000	0.0120
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.878	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.827	 0.000	 0	 8000	0.0160
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.809	 0.000	 0	 8000	0.0160
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.915	 0.000	 0	 8000	0.0040
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.872	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.962	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.849	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.923	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
 y_recon.wav	 0.896	 0.000	 0	 8000	0.0000
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.241	 0.000	 0	 8000	0.0080
